Date,Global,US,GB,AU,CA,DE,NL,ID,BR,PH,SE,FR,IT,NO,MY,IE,DK,BE,ES,SG,IN,CH,NZ,MX,TW,PL,PT,CZ,ZA,AT,FI,AR,HK,IL,TH,CO,VN,HU,AE,CL,PE,NG,SK,RO,GR,CR,SA,EC,IS,GT,LU,JP,PA,LT,EG,LV,DO,HN,EE,SV,BO,BG,UY,MA,CY,MT,NI,PY,KR,TR,UA,RU
2020/04/30,15479120,3252801,1160550,690028,645892,763273,444825,1007676,821816,863908,382256,321944,434171,321979,183981,155063,198856,148529,333731,165455,274347,120566,132593,590590,122702,177979,64787,75578,38323,68784,96595,220363,52115,41121,68347,76390,62399,45464,18327,139196,74300,,22704,27724,31422,36197,15744,41148,14262,31164,6975,,15018,9946,7876,10266,14915,13128,7483,15687,14315,7641,13372,9017,4367,7158,6138,20006,,,,
2020/05/07,15086534,3154290,1122197,676888,618785,735902,461905,1016766,794717,827313,357228,314542,429863,314326,184098,150405,202618,144624,332914,157435,263831,119347,129511,563455,120458,168747,63947,75208,39515,66840,84052,208191,53518,43539,80263,71733,65845,42555,18931,,68741,,22450,27062,30242,35803,17698,39369,13524,30645,6949,,14183,9396,9270,9207,14266,12922,7353,14539,14378,7392,13260,9077,4066,6615,5758,18747,,,,
2020/05/14,14889845,3090378,1073387,677386,603033,725517,441761,1030686,832515,796588,365326,315451,409032,305387,191771,146442,196262,141489,330908,150476,259774,114876,131405,555192,119514,163864,62916,76249,39142,65062,83738,206418,55011,45883,85406,72533,62796,42987,19069,,66523,,22226,26643,29428,34351,18046,37709,13294,30246,7091,,14131,9440,10014,9589,14025,12500,7266,13746,14415,7286,13313,9070,4141,6772,5547,18882,,,,
2020/05/21,14955170,3097670,1102298,688836,609323,733597,445449,1021830,852381,814982,356640,316584,410137,293295,196827,140063,194690,144413,328055,152774,263263,114867,133637,546739,106471,162034,63143,75591,39996,63254,84234,204250,55665,45443,91659,74457,60899,45104,19157,139036,68000,,21498,27105,28594,34192,18338,37943,13065,29127,7350,,14992,9624,9811,10172,13917,12176,7566,13447,14425,7577,12948,8780,3898,6853,5180,19708,,,,
2020/05/28,14707349,2999310,1058542,684567,605514,700719,432399,1016281,876521,837030,316640,304250,406586,295070,170840,140928,183868,135425,319844,147343,268626,110018,134727,546619,128360,166206,63568,74120,39859,61611,79081,197398,50686,46499,95083,72790,63344,46638,20438,,66758,,21493,27312,29887,33606,25928,37787,13220,28836,7083,,14081,9850,11217,9648,14743,11889,7196,13775,14024,7399,12492,9526,3871,6928,5513,19640,,,,
2020/06/04,14533121,2921818,1024709,707094,584108,682035,393763,1053319,907530,819282,290399,301002,394637,286337,196778,140093,177535,136220,317153,153002,276104,107668,134240,527820,125341,162498,65710,77625,40624,60330,74694,192692,53806,43844,96571,71001,65741,45936,21504,,,,22531,26283,28998,32480,,35118,12528,27948,7090,,13975,9908,12956,8956,13018,11342,7203,12357,13413,7463,12270,9741,3994,6811,5482,,,,,
2020/06/11,14938845,3034139,1003298,698852,594271,697958,442151,1171049,934934,842710,302028,310951,388145,283145,210380,127873,178206,137088,327469,161809,288065,113724,136317,519024,129508,158126,66627,78411,42117,60044,76099,200090,55408,46657,102187,72871,67207,47178,21858,,65992,,22309,25461,28617,32758,27886,36685,12400,28265,7091,,14101,9801,13749,9513,13491,11488,7228,13340,14127,7548,12628,10523,3856,6696,5655,,,,,
2020/06/18,14607971,2964175,995716,696031,597272,660882,415956,1149116,946382,843190,289034,303852,366060,272647,220695,127603,172153,133169,315936,155057,274019,111160,135638,,126026,143136,64909,70335,39614,57459,71390,198124,54208,44612,103134,70312,68646,44218,21450,,67297,,20370,24735,26809,32235,26529,36062,12473,27963,7157,,13920,9066,12600,8442,13213,11214,6778,13020,14282,7115,12460,9931,3858,6344,5438,,,,,
2020/06/25,14152961,2908957,980828,683359,568288,639862,365862,1112640,903883,800802,245807,,347769,266068,220806,125971,162756,129791,302287,158970,266753,104884,131203,,126981,148269,62828,69268,41429,58135,64576,207306,52506,43262,101510,69774,67341,43718,21724,136681,65423,,19332,24618,26317,30203,26020,35525,11735,26037,7108,,13703,8662,11922,6844,12623,11401,5864,12678,13934,6923,13123,9610,3863,6091,5372,,,,,
2020/07/02,14135785,2925447,971636,685791,563025,626165,352308,1107998,887261,828019,253878,289716,332875,273611,224100,125305,158251,123261,302990,164220,279237,102145,131803,,122010,139439,62637,64938,42261,55587,69430,211543,51004,44765,98675,69986,68299,42586,22156,138561,65293,,18267,24186,25746,30690,26419,35205,11374,25905,7016,,14117,9129,11562,7950,12955,11272,6366,12515,13624,6802,13223,9203,3811,6002,5238,18855,,,,
2020/07/09,14025242,2750372,979301,660931,559946,625722,357858,1150696,901623,833969,263207,,323159,274427,231098,124190,165195,122645,298548,166876,286032,100347,130043,,122531,142188,62012,62282,42396,54938,71896,212367,51901,43381,105471,74204,69020,42371,21539,143916,66381,,17829,24749,24024,30054,25951,35072,11068,27242,7215,,14430,9262,11837,8282,13069,11744,6594,13135,13580,7131,13640,8962,3741,,5235,19419,,,,
2020/07/16,13836082,2783910,942259,646726,546760,604526,344129,1155688,892168,815866,249866,,316266,256550,227727,121100,159093,121532,295557,162700,286608,97830,125740,,116188,137514,60191,63391,40363,54325,70566,204057,49647,40852,110945,73711,69357,42054,21354,138546,,,17497,24372,23625,28542,26010,34493,10605,27237,6800,,14250,9090,11852,8085,12917,11382,6349,12815,13748,7006,13085,8746,3778,,5164,,,,4324,13970
2020/07/23,13844591,2729254,921954,647733,544817,583429,334081,1248407,922716,823561,241121,,313795,252782,218541,119770,144619,119573,288063,170194,290614,94836,122757,,115513,138162,58579,63564,42499,53164,66508,195540,46219,40406,112186,70405,72849,40602,21487,131530,,,17348,24624,23795,28540,25450,33899,10106,26215,6512,,13658,8717,12339,7840,12581,11413,6339,12678,13881,6906,12737,8455,3680,,5039,,,,16442,
2020/07/30,13314805,2660393,873230,619743,524135,555271,328560,1226482,882831,767913,236647,,298690,248724,206377,110497,150917,113969,275885,155785,281857,90169,121520,,99825,131188,57390,60893,42258,49887,66827,189460,42708,37148,110357,71293,67319,38827,20831,,,,16128,24718,21877,28249,23359,33432,9957,26581,6256,,13965,8129,11524,8067,12380,11885,6306,12644,13313,6679,,8019,3479,,5071,,,,11227,
2020/08/06,13287513,2676067,874013,622346,525302,551606,318328,1155408,887466,759575,240147,,301440,253746,175725,110441,138771,119044,278793,156256,275369,90734,122664,,94952,133925,58271,62918,43874,50341,66239,198174,43113,41687,112295,74556,65446,40242,20409,135600,73226,,16265,24898,22362,30027,23163,36085,10169,28808,6097,,14535,8505,10914,8194,12948,13071,6193,12817,14927,6752,12997,8053,3580,,5400,,,,11056,
