rank,ID,title,artist,streams
242,5PCS7feLWXvEsp5s5fSpXe,I'll Be Home for Christmas,Dean Martin,709011.0
243,4aYEesIDVDyZqg88cmAbnJ,Christmas Wrapping,The Waitresses,705115.0
244,1NDffwvZVpYbA91pZikFp1,I'll Be Home for Christmas,Albin Lee Meldau,704523.0
245,3PkGAZ0b6v8iBRm9YsDBVx,Christmas In My Heart,Sarah Connor,700956.0
246,7bzSuLGzLwcEhfAi5FjliA,Alone On Christmas Eve,Måns Zelmerlöw,699662.0
247,4DlFHi3tiseC0mQUzxvedg,Christmas Peacetime,Andreas Weise,698810.0
248,6OsS4AJQJwc0xejHuneWlo,The Perfect Christmas,Daniela Andrade,697058.0
249,10CSNKYGQXyiuzqhuxmudB,Where Are You Christmas,Thomas Daniel,694672.0
250,71azyw4EJDlGru5Uw6DGzT,"White Christmas - Spotify Singles - Christmas, Recorded at Sound Stage Studios Nashville",Meghan Trainor,690484.0
251,2Z0htiPiNK8IiJDYTD51hr,Officially Christmas,Dan + Shay,687100.0
252,3qcjMLT05VwLyZ8BNQgXZh,White Christmas - Remastered 1999,Frank Sinatra,675884.0
253,3KC1y053yiZDHv44Rmw5iD,Rockin' Around the Christmas Tree,Mel & Kim,670859.0
254,5HEoFTnu7lSHRAVc2PYln5,Christmas Isn't Christmas 'Til You Get Here,Kylie Minogue,657847.0
255,2oXy2U15tnQ1HIRrpjLp41,It's Only Christmas,Ronan Keating,656729.0
